id,name,link
4ELTG3r8JglJQS52Vf4jMU,Top Songs: 2012-2019,https://open.spotify.com/playlist/4ELTG3r8JglJQS52Vf4jMU
7dAxlGfYWzSgBK7CBPXM0o,Top Songs: 2013-2020,https://open.spotify.com/playlist/7dAxlGfYWzSgBK7CBPXM0o
1tM88Dls6Q59ZlK5ElcE3D,Top Songs: 2014-2021,https://open.spotify.com/playlist/1tM88Dls6Q59ZlK5ElcE3D
1wHzjgIv1Ind4Rt0brBN5c,Top Songs: 2015-2022,https://open.spotify.com/playlist/1wHzjgIv1Ind4Rt0brBN5c
0YMgycNkNSnUXTlYt7KdOd,Top Songs: 2012-2020,https://open.spotify.com/playlist/0YMgycNkNSnUXTlYt7KdOd
77I1b3XAcz7p5beiPF8SxY,Top Songs: 2013-2021,https://open.spotify.com/playlist/77I1b3XAcz7p5beiPF8SxY
10NlTbaz36miNJRb3sweL8,Top Songs: 2014-2022,https://open.spotify.com/playlist/10NlTbaz36miNJRb3sweL8
017hyapnJ7xA8NPwjOnAGJ,Top Songs: 2012-2021,https://open.spotify.com/playlist/017hyapnJ7xA8NPwjOnAGJ
6QPFmXMGo6jFFwDZfKpWBc,Top Songs: 2013-2022,https://open.spotify.com/playlist/6QPFmXMGo6jFFwDZfKpWBc
6zNOTV0es2OU0qS5wEZXHN,Top Songs: 2012-2022,https://open.spotify.com/playlist/6zNOTV0es2OU0qS5wEZXHN
